Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
,TIFFING_WARNING,Tiffing Warning,,,Dropdown List,Custom,GHI,Unknown
EMS Title,#DRETITLE,Title,EMS Title,,Text,Other,ABC,Unknown
Recipients-To,TO,To,Recipients-To,,Text,MS Office & PDF,DEF,Unknown
Unique Reference Number,TAG_URN_MATCH,Unique Reference Number,Unique Reference Number,,Text,MS Office & PDF,GHI,Unknown
Document ID / EMS UUID,UUID,UUID,Document ID / EMS UUID,,undefined,Custom,ABC,Unknown
Virtual Path Segment 1,VIRTUAL_PATH_SEGMENT_1,Virtual Path Segment 1,Virtual Path Segment 1,,Dropdown List,Standard,DEF,Unknown
EMS Workflow ID Source,INTROSPECT_WORKFLOW_SOURCE,Workflow ID - Source,EMS Workflow ID Source,,Text,Custom,GHI,Unknown
EMS Workflow ID Target,INTROSPECT_WORKFLOW_TARGET,Workflow ID - Target,EMS Workflow ID Target,,Text,Custom,ABC,Unknown
EMS Workflow Project Target,INTROSPECT_MIGRATED_TO_MATTER,Workflow Project - Target,EMS Workflow Project Target,,Text,Custom,DEF,Unknown
,AUN_WORKPOOL_MATCH_PARAMETRIC,Workpool,,,Dropdown List,Custom,ABC,Unknown
,AUN_WORKPOOL_ASSIGNED_MATCH_PARAMETRIC,Workpool - Assigned,,,Dropdown List,Custom,DEF,Unknown
,AUN_WORKPOOL_DONE_MATCH_PARAMETRIC,Workpool - Done,,,Dropdown List,Custom,GHI,Unknown
,AUN_WORKPOOL_UNASSIGNED_MATCH_PARAMETRIC,Workpool - Unassigned,,,Dropdown List,Custom,ABC,Unknown
Containing Folder,#DRECONTAININGFOLDER,,Containing Folder,,,Custom,DEF,Unknown
Content,#DRECONTENT,,Content,,Text,Custom,GHI,Unknown
Database Name,#DREDBNAME,,Database Name,,,Custom,ABC,Unknown
Embedded Mail Reference,#DREEMBMAILREFERENCE,,Embedded Mail Reference,,,Custom,DEF,Unknown
#DREENDDOC,#DREENDDOC,,#DREENDDOC,,,Custom,GHI,Unknown
File Name,#DREFILENAME,,File Name,,,Custom,ABC,Unknown
Parent Reference,#DREPARENTREFERENCE,,Parent Reference,,,Custom,DEF,Unknown
Root Embedded Reference,#DREROOTEMBEDDEDREFERENCE,,Root Embedded Reference,,,Custom,ABC,Unknown
Root Embedded Reference ID,#DREROOTEMBEDDEDREFERENCE_ID,,Root Embedded Reference ID,,,Unknown,DEF,Unknown
Root Family Reference,#DREROOTFAMILYREFERENCE,,Root Family Reference,,,Custom,GHI,Unknown
Root Message Reference,#DREROOTMSGREFERENCE,,Root Message Reference,,,Custom,ABC,Unknown
Root Message Reference ID,#DREROOTMSGREFERENCE_ID,,Root Message Reference ID,,,Custom,DEF,Unknown
Root Parent Reference,#DREROOTPARENTREFERENCE,,Root Parent Reference,,,Custom,GHI,Unknown
Root Parent Reference ID,#DREROOTPARENTREFERENCE_ID,,Root Parent Reference ID,,,Custom,ABC,Unknown
DREROOTPARENTTYPE,#DREROOTPARENTTYPE,,DREROOTPARENTTYPE,,,Custom,DEF,Unknown
#DRESECTION,#DRESECTION,,#DRESECTION,,,Custom,GHI,Unknown
_DLC_DOCID,_DLC_DOCID,,_DLC_DOCID,,,Custom,ABC,Unknown
_DLC_DOCIDITEMGUID,_DLC_DOCIDITEMGUID,,_DLC_DOCIDITEMGUID,,,Custom,DEF,Unknown
_DLC_DOCIDPERSISTID,_DLC_DOCIDPERSISTID,,_DLC_DOCIDPERSISTID,,,Custom,ABC,Unknown
_TEMPLATEID,_TEMPLATEID,,_TEMPLATEID,,,Custom,DEF,Unknown
ACTUALORIGINALNAME,ACTUALORIGINALNAME,,ACTUALORIGINALNAME,,,Custom,GHI,Unknown
APERTURE_VALUE,APERTURE_VALUE,,APERTURE_VALUE,,,Custom,ABC,Unknown
APPLE-MOBILE-WEB-APP-CAPABLE,APPLE-MOBILE-WEB-APP-CAPABLE,,APPLE-MOBILE-WEB-APP-CAPABLE,,,Unknown,DEF,Unknown
APPLE-MOBILE-WEB-APP-STATUS-BAR-STYLE,APPLE-MOBILE-WEB-APP-STATUS-BAR-STYLE,,APPLE-MOBILE-WEB-APP-STATUS-BAR-STYLE,,,Standard,GHI,Unknown
APPLE-TOUCH-FULLSCREEN,APPLE-TOUCH-FULLSCREEN,,APPLE-TOUCH-FULLSCREEN,,,Other,ABC,Unknown
Document Type,APPNAME,,Document Type,,,Other,DEF,Unknown
APPVERSION,APPVERSION,,APPVERSION,,,Other,GHI,Unknown
Attachment,ATTACHMENT,,Attachment,,,System,ABC,Unknown
ATTACHMENT_NAME_MATCH,ATTACHMENT_NAME_MATCH,,ATTACHMENT_NAME_MATCH,,,Custom,DEF,Unknown
ATTESTATIONFORPARTY1,ATTESTATIONFORPARTY1,,ATTESTATIONFORPARTY1,,,Custom,ABC,Unknown
ATTESTATIONFORPARTY2,ATTESTATIONFORPARTY2,,ATTESTATIONFORPARTY2,,,Appointment,DEF,Unknown
AUDIO_DURATION,AUDIO_DURATION,,AUDIO_DURATION,,,Custom,GHI,Unknown
AUDIO_MMS_URL,AUDIO_MMS_URL,,AUDIO_MMS_URL,,,MS Office & PDF,ABC,Unknown
AUDIO_WORDTIMES,AUDIO_WORDTIMES,,AUDIO_WORDTIMES,,,Unknown,DEF,Unknown
AUN_AUDIO_WAVFORM_URL,AUN_AUDIO_WAVFORM_URL,,AUN_AUDIO_WAVFORM_URL,,,Custom,GHI,Unknown
AUN_DEDUPEID,AUN_DEDUPEID,,AUN_DEDUPEID,,,Custom,ABC,Unknown
