Field Name in EDT,IDOL Name (in IDX file),Name in MicroFocus export,CFU Suggested Name,Found in IDX data,Stored in EDT as,Importer Group,Field Description,Override conversion method
CREATEDBY,CREATEDBY,,CREATEDBY,,,,,Unknown
CREATEDON,CREATEDON,,CREATEDON,,,,,Unknown
CREATION_DATE,CREATION_DATE,,CREATION_DATE,,,,,Unknown
CREATION_SOFTWARE,CREATION_SOFTWARE,,CREATION_SOFTWARE,,,,,Unknown
CREATOR,CREATOR,,CREATOR,,,,,Unknown
Crim 1st Rev Complete,TAG_CRIM_INTIAL_COMPLETE_NUMERIC,Crim 1st Rev Complete,,,Boolean,Checkbox,,Unknown
Crim Disc Determination,TAG_CRIM_DIS_DETERMINATION_MATCH_PARAMETRIC,Crim Disc Determination,,,List (presented as radio button),Radio,,Unknown
Crim Disc Reason,TAG_CRIM_DIS_REASON_MATCH,Crim Disc Reason,,,Memo,TextArea,,Unknown
Crim Disclose To,TAG_CRIM_DIS_TO_MATCH,Crim Disclose To,,,MultiValueList,MultiSelect,,Unknown
Crim Disclosure Status,TAG_CRIM_DIS_STATUS_MATCH,Crim Disclosure Status,,,Dropdown List,Combobox,,Unknown
Crim Disclosure To All?,TAG_CRIM_DIS_TOALL_MATCH,Crim Disclosure To All?,,,Dropdown List,Combobox,,Unknown
Crim Duplicate Of,TAG_CRIM_DUPLICATEOF_MATCH,Crim Duplicate Of,,,Text,Text,,Unknown
CRIM Evidence Comments,TAG_BUN_EVIDENCECOMMENTS_MATCH,CRIM Evidence Comments,,,Memo,TextArea,,Unknown
CRIM Evidence Status,TAG_BUN_EVIDENCESTATUS_MATCH,CRIM Evidence Status,,,List (presented as radio button),Radio,,Unknown
CRIM Evidence Witness,TAG_BUN_EVIDENCEWIT_MATCH,CRIM Evidence Witness,,,MultiValueList,MultiSelect,,Unknown
Crim Legal Rev Comments,TAG_CRIM_COMMENTS_MATCH,Crim Legal Rev Comments,,,Memo,TextArea,,Unknown
Crim Legal Rev Complete,TAG_CRIM_LEGAL_COMPLETE_NUMERIC,Crim Legal Rev Complete,,,Boolean,Checkbox,,Unknown
Crim Legal Rev Date,TAG_CRIM_LEGALREV_NUMERICDATE,Crim Legal Rev Date,,,Date,DateText,,Unknown
Crim Legal Rev Decision,TAG_CRIM_LEGAL_DECISION_MATCH,Crim Legal Rev Decision,,,Dropdown List,Combobox,,Unknown
Crim Legal Reviewer,TAG_CRIM_LEGALREVIEWER_MATCH_PARAMETRIC,Crim Legal Reviewer,,,Dropdown List,Combobox,,Unknown
Crim Not Relevant Reason,TAG_CRIM_NOTRELEVANTREASON_MATCH,Crim Not Relevant Reason,,,Dropdown List,Combobox,,Unknown
Crim Sensitive,TAG_CRIM_SENSITIVE_MATCH,Crim Sensitive,,,Dropdown List,Combobox,,Unknown
Crim Sensitive Reason,TAG_CRIM_SENSITIVEREASON_MATCH,Crim Sensitive Reason,,,MultiValueList,MultiSelect,,Unknown
Custodian,SL_DOCUMENT_CUSTODIAN_PARAMETRIC,Document Custodian,Custodian,,Text,Custom,,Unknown
CX_ORIGINALVERSION,CX_ORIGINALVERSION,,CX_ORIGINALVERSION,,,,,Unknown
